subjectcode,subjectname,coursename,coursenumber,coursedescription,corequisitenarrative,prerequisitenarrative,credits,instructor,offered,distribution,crosslistedcoursenarrative,concurrentrequisites,recommendedrequisites,hours
ENGR,Engineering,A Computational Introduction to Robotics,ENGR3590,"This course will provide a computationally-focused introduction to the field of robotics. Students will learn how to both select and design algorithms for solving interesting problems in robotic perception and control. Additionally, students will learn to successfully balance tradeoffs between accuracy of an algorithm and its computational efficiency in both space and time. The course will move from structured labs to more open-ended projects as the semester progresses. Specific content areas that the course may address are: computer vision, machine learning, reinforcement learning, path planning, mapping and localization.",,ENGR2510,4 ENGR,,,,,,,
ENGR,Engineering,Special Topics in Computing,ENGR3599,Special Topics in Computing classes (ENGR X599) typically cover a specific topic in Computing and are intended to enhance and expand the selection of offerings from semester to semester.,,,Variable Credits ENGR,,,,,,,
ENGR,Engineering,Biomedical Materials,ENGR3610,"The body is a harsh environment for synthetic materials; not only is it warm, wet, and salty, but there are enzymes and cells whose function is to identify and destroy anything foreign. Conversely, implanted materials can provoke unexpected responses from biological systems. This course is an overview of biological interactions with materials, with a special emphasis on the role of the in vivo milieu on failure in medical devices. Topics will include coagulation, inflammation, and immune responses to materials, cell-surface interactions, and the mechanical interactions of materials and tissue, together with emerging fields such as drug delivery and neuron-silicon interfaces. Readings will be drawn primarily from the current literature.",,,4 ENGR,,,,,,"SCI 1210 and SCI 1410, or Permission",4-0-8
ENGR,Engineering,"Neurotechnology, Brains and Machines",ENGR3635,"Neurotechnology falls in the intersection of engineering, data science, and neuroscience. This area involves work in how humans can use machines to understand how we think and how to make machines that can think. Advances in neurotechnology will likely lead to new treatments for brain disorders, repair and augmentation of our sensory and motor systems, and shifts in computation strategies. In this course, students will learn about cutting-edge technologies used to understand and emulate the brain, develop statistical data analysis skills to conduct and understand neurotechnology research, and discuss the cultural and ethical implications of these advances. Course work will involve analysis of data from neuroscience, reading and synthesizing articles from research journals, and project work.",,,2 ENGR,,,,,MTH2135,,
ENGR,Engineering,Structural Biomaterials,ENGR3650,"How is a blood vessel like a garden hose? Why are seashells strong (and beautiful) even though they are made of chalk? How can your opaque white tendons be made of the same material as your transparent corneas? This course focuses on the materials science of natural tissues, primarily ones that fill structural roles, including bone, teeth, tendon, nacre, and wood, with an emphasis on how they are similar and different to 'engineering' materials. Additional material may include scaffolds for tissue engineering, biomimetic materials and mechanical properties of individual cells.",,SCI12 AND SCI14,4 ENGR,,,,,,,4-4-4
ENGR,Engineering,Special Topics in Bioengineering,ENGR3699,Special Topics in Bioengineering classes (ENGR X699) typically cover a specific topic in Bioengineering and are intended to enhance and expand the selection of offerings from semester to semester.,,,Variable Credits ENGR,,,,,,,
ENGR,Engineering,Failure Analysis and Prevention,ENGR3820,"Students will complete projects and case studies to gain practical experience in the analysis of fractured and failed engineering materials and components. The course focus will be on material microstructure and the micromechanisms of fracture, and topics will include failure analysis methodology, mechanisms of failure, fracture classifications, corrosion and environmental factors, fractography, and design for failure prevention. Students will learn advanced materials characterization techniques including scanning electron microscopy (SEM), energy dispersive spectroscopy (EDS) and compositional dot mapping, x-ray diffraction (XRD), Fourier transform infrared spectroscopy (FTIR), optical microscopy, and fracture surface sample preparation.<br /><br />",,SCI1410,4 ENGR,,,,,,,4-4-4
ENGR,Engineering,Special Topics in Materials Science,ENGR3899,Special Topics in Engineering classes (ENGR X899) typically cover a specific topic in Materials Science Engineering and are intended to enhance and expand the selection of offerings from semester to semester.,,SCI1410,Variable Credits ENGR,,,,,,,
ENGR,Engineering,SCOPE: Senior Capstone Program in Engineering,ENGR4190,"SCOPE is one of the two Engineering Capstone requirements for all Olin students.  It incorporates formal, team-based, year-long engineering projects done in conjunction with 10 to 14 external companies. Each project will be executed by a single student team, supported by a dedicated faculty member, in partnership with one of these companies. Each student team will have between four and six members from the senior class. Students may conduct advanced research, perform market analysis, develop experimental prototypes, design new products or redesign existing products in the execution of this project.<br /><br /><br /><br />As SCOPE is an 8 credit, year-long, fall/spring offering, a single grade will be given upon completion of 8 credits of SCOPE. After completion of the fall semester, a TBG grade will appear upon a students transcript until a grade is assigned at the end of the spring. The single grade assigned will appear in both the fall and the spring on transcripts. Students not completing a second semester of SCOPE will receive a grade for the fall and will therefore not satisfy the requirement of engineering capstone with the SCOPE program. Note that students not performing adequate work in the fall semester will receive an end-of-semester notice of concern (see the Grading at Olin section of the Olin College Catalog for more information).<br /><br /><br /><br />Note: Cross-registered and Exchange students must obtain permission from the SCOPE Director to enroll.",,,4 ENGR,,,,,,Must be a senior,
ENGR,Engineering,Affordable Design and Entrepreneurship Engineering Capstone,ENGR4290,"Students gain experience innovating to address social challenges through a design and entrepreneurship approach that emphasizes context, collaboration, and sustainability. The focus is on alleviating poverty by deploying innovations in communities that generate income and meet daily human needs in areas like energy, water, health, agriculture, transportation, and communication. For example, students might create and test the technology for a micro energy utility, such as a concentrated-solar battery charging station, and the business model that makes it viable.<br /><br /><br /><br />The course is run as a firm where students work in teams with community partners nationally and internationally to co-create and launch new products and ventures. Topics covered include the conditions and causes of poverty, approaches to poverty alleviation, cultural awareness and community engagement, affordable design principles and practices, and social venture models and strategies including financing and scaling. Groups of students travel to partner sites in countries like India, Morocco, Ghana and the U.S. to build relationships, gain contextual awareness, and implement projects.<br /><br /><br /><br />This course is part of the ADE Program that also includes placement assistance to help students find internship and job opportunities in social enterprise. ADE is offered jointly with Babson College where students enroll in EPS 4515. Olin students can elect ADE as an alternative to the SCOPE Program to fulfill the Capstone requirement by registering for ENGR 4290 for two consecutive semesters beginning in the second semester of their junior year or the first semester of their senior year. They cannot change programs once they have completed registration. Alternatively, students can take this course for one semester to fulfill the Design Depth requirement by registering for ENGR 3290. Students that take ENGR 3290 can switch to ENGR 4290 for Capstone credit.<br /><br />",,ENGR2250,4 ENGR,,,,,,,2-2-8
ENGR,Engineering,Engineering Capstone Alternative,ENGR4599,"The Entrepreneurial Engineering Capstone (EEC) enables students to gain professional experience undertaking an authentic, team-based engineering project in the context of a prospective new venture. EEC is being offered in 2019 on an experimental basis as a two semester sequence (4 credits Spring + 4 credits Fall) that fulfills the Engineering Capstone requirement.<br /><br /><br /><br />Mastering key elements will prepare students for starting or contributing at a high level to an early stage company. These elements include: Understanding major user pain points and the value of a solution; understanding the market and segmentation (first/early market, beachhead; customer/user persona; customer buying habits/process); understanding how to go from a prototype to a manufacturable product for a specific customer (problem you are to solve; value of the solution for the customer; product vision; minimum viable product; prototype & productization; production, supply chain, BOM; product validation; quality & compliance; schedule, timing, launch; user experience). By the end of this capstone experience, students will be prepared to face the challenges of productizing prototypes to match market needs.<br /><br /><br /><br />Assessment will be similar to SCOPE, with students evaluated on a combination of their individual learning goals, contribution to their team, and successful execution of the project. (Students are not evaluated on the success of the venture itself.)  Note, as this is an experiment, it is only available to students who enrolled at Olin on or after fall 2015. <br /><br />",,AHSE1515 AND ENGR2250,4 ENGR,,,,,,"Registration notes:  Students must be in at least their sixth semester of study, and have successfully completed Products and Markets (AHSE 1515) and User-Oriented Collaborative Design (ENGR 2250).",
ENGR,Engineering,Quantitative Engineering Analysis I,ENGX2000,"The application of quantitative analysis of mathematical models and/or data can enable, improve, and speed up the engineering design process. Using quantitative analysis to answer engineering questions, you will be able to make the choices necessary to successfully complete an engineering design. Whether you are selecting the best part from a catalog, choosing an appropriate material, sizing a component, determining the effect of certain influences on your design, or optimizing your design within a parameter space, you often need to obtain (through experiment or calculation) and interpret quantitative information to inform your decisions. There are many different approaches to getting and interpreting the data you need: you may conduct an experiment, do a rough estimation, perform a detailed calculation based on mathematical models, or create a computer simulation. If you want to engineer effectively, you must be able to choose and use appropriate quantitative tools for a given situation.<br /><br /><br /><br />In this class, you will be introduced to various approaches to perform quantitative engineering analysis through real-world examples. You will learn how to select between different tools and different approaches within the context of an engineering challenge, how to use many different tools for quantitative analysis, and how to acquire new tools on your own in the future.<br /><br /><br /><br />Credit distribution of this course is 4 MTH, 3 SCI, 1 ENGR.",,ENGR1125 AND ENGR1200 AND MTH1111,8 ENGR,,,,,,,8-0-16
MTH,Mathematics,Modeling and Simulation of the Physical World,MTH1111,"This course provides an introduction to mathematical modeling and computer simulation of physical systems. Working with a broad range of examples, students practice the steps involved in modeling and analyzing a physical system, learn the role of models in explaining and predicting the behavior of the physical world, and develop skills with the programming and computational tools necessary for simulation. Students work in a studio environment on increasingly open-ended projects, and learn how to present their results, with an emphasis on visual and oral communication.  (This course is taken with SCI1111.)<br /><br />",,,2 MTH,,,,,SCI1111,,3-0-3
MTH,Mathematics,Discrete Math,MTH2110,"Topics for this course include combinatorics, number theory, graph theory, an emphasis on creative problem solving, and the ability to read and write rigorous proofs.",,,4 MTH,,,,,,,4-0-8
MTH,Mathematics,Probability and Statistics,MTH2130,"An introduction to probability and statistics, with applications to science, engineering, and social science. Topics include discrete and continuous probability distributions; moments; conditional probability; Bayes' Rule; point and interval estimation; hypothesis testing.",,,2 MTH,,,,,,,2-0-4
MTH,Mathematics,Data Science,MTH2131,"Data Science lies at the intersection of statistics, machine learning, database design, and data visualization. The goal of this class is to prepare students to work on data science projects that involve collecting data or finding data sources, exploratory data analysis and interactive visualization, statistical analysis and machine learning, predictive analytics, model selection, and validation. Class work includes a substantial project on a real world application of the students' choice; projects might involve work with a social change organization like those on DataKind, or participating in a competition like those on Kaggle.<br /><br />",,,2 MTH,,,,,ENGR3531,,
MTH,Mathematics,Computational Bayesian Statistics,MTH2133,"Bayesian statistics provide a powerful toolkit for modeling random processes and making predictions. The ideas behind these tools are simple, but expressing them mathematically can make them hard to learn and apply. This class takes a computational approach, which allows students with programming experience to use that knowledge as leverage. Students will work through a series of exercises in the book, Think Bayes, and help develop new material.",,,2 MTH,,,,,ENGR3533,,
MTH,Mathematics,"Neurotechnology, Brains and Machines",MTH2135,"Neurotechnology falls in the intersection of engineering, data science, and neuroscience. This area involves work in how humans can use machines to understand how we think and how to make machines that can think. Advances in neurotechnology will likely lead to new treatments for brain disorders, repair and augmentation of our sensory and motor systems, and shifts in computation strategies. In this course, students will learn about cutting-edge technologies used to understand and emulate the brain, develop statistical data analysis skills to conduct and understand neurotechnology research, and discuss the cultural and ethical implications of these advances. Course work will involve analysis of data from neuroscience, reading and synthesizing articles from research journals, and project work.",,,2 MTH,,,,,ENGR3635,,
MTH,Mathematics,Astronomy and Statistics: AstroStats,MTH2136,"It's not science unless you quantify your errors. Learn statistics and error analysis by studying our dynamic solar system. The first half of the class will provide you with a toolbox of standard statistical methods. You will learn these methods by studying data from planets, moons, and asteroids. The second half consists of student-designed projects. Your project will investigate an element of our solar system, and will include rigorous error analysis. This course will use data from NASA and ESA missions.<br /><br />",,,2 MTH,,,,,SCI2136,ENGR2510: Software Design or experience with Python,3-0-9
MTH,Mathematics,Designated Alternative in Mathematics,MTH2188,Designated Alternatives in Mathematics courses (MTH X188) typically cover mathematical topics in a required subject.  Offerings under this title provide approved substitions for an Olin requirement. They vary from semester to semester and are intended to expand the selection of offerings.,,,4 MTH,,,,,,,
MTH,Mathematics,Designated Alternative in Mathematics,MTH2188A,Designated Alternatives in Mathematics courses (MTH X188) typically cover mathematical topics in a required subject.  Offerings under this title provide approved substitions for an Olin requirement. They vary from semester to semester and are intended to expand the selection of offerings.<br /><br />,,,Variable Credits MTH,,,,,,,
MTH,Mathematics,Designated Alternative in Mathematics,MTH2188B,Designated Alternatives in Mathematics courses (MTH X188) typically cover mathematical topics in a required subject.  Offerings under this title provide approved substitions for an Olin requirement. They vary from semester to semester and are intended to expand the selection of offerings.<br /><br /><br /><br />,,,Variable Credits MTH,,,,,ENGR2199B,,
MTH,Mathematics,Special Topics in Mathematics,MTH2199,Special Topics in Mathematics classes (MTH X199) typically cover a specific topic in Mathematics and are intended to enhance and expand the selection of offerings from semester to semester.<br /><br />,,,Variable Credits MTH,,,,,,,
MTH,Mathematics,Linearity I,MTH2210,"The fundamentals of linear algebra and differential equations are taught through the lens of discrete- and continuous-time dynamical systems.  Applications such as population ecology, mechanics and dynamics, circuits, networks, information processing and/or other areas relevant to engineering will be stressed.",,,4 MTH,,,,,,,
MTH,Mathematics,Linearity II,MTH2220,"An intradisciplinary approach that builds upon material covered in Linearity 1 to address topics in vector calculus and introductory partial differential equations.  Topics include functions of more than one variable; vector-valued functions; gradient, divergence, and curl; boundaryvalue problems; and solutions to common partial differential equations.  Emphasis on both numerical and analytical approaches.  Note: students who have previously taken multi-variable calculus should consult with mathematics faculty to determine whether taking Linearity 2 is appropriate for their needs.",,,4 MTH,,,,,,,
MTH,Mathematics,Partial Differential Equations,MTH3120,"An introduction to the solution methods of partial differential equations that arise in describing a wide variety of problems in engineering, such as in fluid dynamics, elasticity, electromagnetic wave propagation, and transport phenomena. The course begins with the solution of boundary-value problems in ordinary differential equations (Sturm-Liouville theory), and then develops into the fundamentals of Fourier analysis and the solutions to the heat, wave, and Laplace's equations on finite and infinite domains. Additional topics will be addressed at the discretion of the instructor(s), examples of which include systems of hyperbolic equations, similarity solutions in infinite domains, or a brief introduction to numerical solutions.",,,4 MTH,,,,,,"MTH2210, MTH2220 or permission of instructor",4-0-8
MTH,Mathematics,Numerical Methods and Scientific Computing,MTH3150,"The speed of modern computers has allowed simulation to become a very powerful tool in the design and analysis of systems in science and engineering. This power is easily misused and scientific computing is full of pitfalls. This course introduces students to methods useful for accurately simulating complex systems in the physical sciences and engineering. The first half of the course focuses on iterative techniques for solving algebraic systems, interpolation of functions, and advanced techniques for solutions to ordinary differential equations. The second half of the course focuses on an introduction to solutions to boundary-value problems and solutions to partial differential equations, with the students required to choose an application in science and engineering to solve in detail.",,,4 MTH,,,,,,,4-0-8
MTH,Mathematics,Intro to Complex Variables,MTH3160,"This course provides an introduction to the analysis of functions in the complex plane. Topics include the Cauchy-Riemann equations, conformal mapping, Cauchy-Goursat theorem, Taylor-Laurent series, the residue theorem, Nyquist criterion, continuation of analytic functions, and applications in science and engineering.",,,4 MTH,,,,,,,4-0-8
MTH,Mathematics,Nonlinear Dynamics and Chaos,MTH3170,"This course will focus on the modern theory of dynamical systems including both discrete and continuous processes. The course will emphasize both theory and applications. Theory topics might include, for example, linear and nonlinear stability theory, periodic solutions, bifurcation theory, chaos, and strange attractors. Applications discussed might include, for example, mechanical oscillators and biological oscillators.",,,4 MTH,,,,,,,4-0-8
MTH,Mathematics,Special Topics in Mathematics,MTH3199,Special Topics in Mathematics classes (MTH X199) typically cover a specific topic in Mathematics and are intended to enhance and expand the selection of offerings from semester to semester.,,,Variable Credits MTH,,,,,,,
OIE,Olin Intro Experience,Olin First Year Introduction OFYI,OIE1000,"Olin Introductory Experience is a first-year course that serves an introduction to different aspects of life and resources at Olin and a general first-year experience course.  Students experience and examine different aspects of Olin's culture and tools are provided to assist with the transition to college and beyond.  Teaming and feedback, professionalism, space stewardship and ethics, mental health, financial literacy, identity formation and diversity, academic support, post-graduate planning, and curriculum and registration are some examples of topics that are covered in this course, though topics may shift depending on the needs of the students and community.",,,1 OIE,,,,,,,1-0-3
SCI,Science,Modeling and Simulation of the Physical World,SCI1111,"This course provides an introduction to mathematical modeling and computer simulation of physical systems. Working with a broad range of examples, students practice the steps involved in modeling and analyzing a physical system, learn the role of models in explaining and predicting the behavior of the physical world, and develop skills with the programming and computational tools necessary for simulation. Students work in a studio environment on increasingly open-ended projects, and learn how to present their results, with an emphasis on visual and oral communication.  (This course is taken with MTH1111.)",,,2 SCI,,,,,MTH1111,,
SCI,Science,Electricity and Magnetism,SCI1121,"Electricity and magnetism, including electric charges, forces, and fields, Gauss's Law, potential, electrostatic energy and capacitors, magnetic fields and energy, mutual and self-induction, Ampere's Law, Maxwell's Equations and electromagnetic waves.",,,4 SCI,,,,,,,4-0-8
SCI,Science,Mechanics,SCI1130,"This course provides a thorough introduction to classical mechanics. We will cover kinematics, the basis of Newton's laws, particle dynamics, the concepts of momentum, work, energy, and rotational motion, and oscillations. Our goal is to share with you the excitement of discovering the material universe at its most basic levels and to equip you with the basic knowledge and analytical skills necessary to become a scientist or an engineer. <br /><br />",,,4 SCI,,,,,,,4-0-8
SCI,Science,Foundation Topic in Physics,SCI1199,Foundation Topics in Physics classes (SCI X199) typically cover an introductory topic in Physics and are intended to enhance and expand the selection of offerings from semester to semester.,,,4 SCI,,,,,,,
SCI,Science,Principles of Modern Biology with Laboratory,SCI1210,"Most of the course material is concerned with our current understanding of the fundamentals of life at the molecular and cellular level. Concepts and information from the disciplines of biochemistry, molecular biology, genetics, evolutionary and cell biology contribute in different ways to provide a coherent view of the components, processes, interdependencies, and other properties common to all organisms. The structure and regulation of genes, properties and synthesis of proteins, and the organization and communication between cells and multi-cellular organisms are essential elements for cellular growth and differentiation that will be studied in detail. Special topics to be considered include, but are not limited to, human genetics, molecular medicine, cancer biology, evolution, genomics, synthetic biology, and ethical implications of the applications of biological research. Students will gain experience with research methods and scientific reasoning through laboratory section experiments, written laboratory research summaries and from other project work.<br /><br />",,,4 SCI,,,,,SCI1210 L,,4-3-5
SCI,Science,Principles of Modern Biology with Laboratory,SCI1210A,see information under SCI1210,,,4 SCI,,,,,,,
SCI,Science,Human Genetics and Genomics with Laboratory,SCI1220,"While the core concepts amongst the versions of Principles of Modern Biology are held in common, the emphasis in this section is on human genetics and genomics. We will explore how the mechanisms of evolution unite all of biology and this will be a common theme throughout the semester. The classical mechanisms and molecular underpinnings of genetic inheritance will be investigated as well as an in-depth study more complex events that influence the outward expression of genes. Ethical implications of genetic manipulations such as CRISPR technology and diagnostic testing will be discussed in depth. Genomics examples from the human, and canine genomes including the latest breaking findings in genetics and genomics will be studied. How geneticists think and work in the laboratory as professionals is explicitly demonstrated through actual student laboratory experience and discovered implicitly through selected case studies.<br /><br />",,,4 SCI,,,,,,,
SCI,Science,Think Like a Biologist with Laboratory,SCI1230,"In this survey course we learn fundamental principles of biology through a journey through the field from the molecular to systems levels.   We examine different classes of biological problems and interactions across multiple scales through reading and discussion of primary and secondary literature in the field.  We draw on examples from the environment, microbiology, biomimicry, and current events.  Through analysis of numerous examples we uncover key principles of biology, a toolkit of which can be applied towards examining and solving multifaceted problems.  Projects include examination of biology in the context of systems and exploration of ways in which biology informs interdisciplinary problem solving.  Through projects and work in the laboratory students develop a practical and foundational understanding of biological principles and practice.<br /><br /><br /><br />",,,4 SCI,,,,,,,
SCI,Science,Designing Better Drugs with Laboratory,SCI1240,"This class addresses the engineering grand challenge of ?Engineering Better Medicines?.  In this class, students will learn to apply concepts and laboratory skills that are currently used in biological research to solve problems in health and disease and drug discovery and development. Students will also develop skills in technical writing and oral communication, and they will gain experience with the basics of designing, conducting and evaluating laboratory experiments. Students will demonstrate an understanding of the larger societal context in which biological concepts, tools and research play a role in everyday life and medicine, and how societal context shapes the advancement of research in biology and medicine.<br /><br /><br /><br />",,,4 SCI,,,,,,,
SCI,Science,Six Microbes that Changed the World with Laboratory,SCI1250,"Penicillium.  Vibrio cholerae.  Escherichia coli.  Yeast.  The Archaea.  Microbes surround us, and impact our lives, our health, our societies, and our environment.  Research with microbes, the smallest of all living creatures, has enabled discovery and understanding of the fundamental workings of life, opens up rich historical narratives of diseases and cures, and may provide sustainable solutions to problems we face from bioremediation to bioenergy.  We will use six influential microbes as a window into a rich study of the interactions between science and societal context.  This course connects biological concepts and historical knowledge through discussions, integrated assignments, presentations, and hands-on laboratory activities. Let?s explore the thrill of biology and history, together.<br /><br />",,,4 SCI,,,,,AHSE2150,,
SCI,Science,"The Intersection of Biology, Art and Technology (IBAT)",SCI1260,"This project-based course will encourage participants to cross boundaries between art, biology and technology with hands-on projects inspired by contemporary and historical work in these fields. How might biology inform art practice and how might art inform biology? What role does technology play in advancing or setting back each field and how might art and biology inspire technological breakthroughs? What are the implications of being able to change the genome of an organism? These are just some of the questions we will pursue during this course. Students will conduct a CRISPR genome editing experiment and consider the ethical implications of such work. We will also work with the visualization technologies such as the scanning electron microscope (SEM). Studio work will employ a variety of technologies old and new such as 3D printing in preparation for final student-directed projects that are informed by biology, art and technology. The literature in the area of art and science, particularly with respect to biology has grown considerably and we will delve into a variety of written works, films and video resources, and listen first-hand to practitioners in these areas about the challenges and rewards of interdisciplinary work in fields that most would regard as unrelated. The goal by the end of the course is to acquire an attitude that allows fluid movement from one field to the other in thinking and doing so as to garner creative strength not possible from study of each field alone.<br /><br />",,,4 SCI,,,,,AHSE2160,,
SCI,Science,Foundation Biology Topics (with laboratory),SCI1299,This topics course provides flexibility in offering our foundational biology<br /><br />course. Reference semester registration materials for specific offerings.<br /><br />,,,4 SCI,,,,,AHSE2199,,
SCI,Science,Introduction to Chemistry with Laboratory,SCI1310,"This course introduces students to the fundamental aspects of aqueous and solid state chemistry. Topics include stoichiometry, gas laws, atomic structure and bonding, atomic theory, quantum theory, acid/base chemistry, solubility, electrochemistry, kinetics, thermodynamics, and reaction equilibria.<br /><br /><br /><br />",,,4 SCI,,,,,,,4-3-5
SCI,Science,Special Topics in Chemistry,SCI1399,Special Topics in Chemistry classes (SCI X399) typically cover a specific topic in Chemistry and are intended to enhance and expand the selection of offerings from semester to semester.,,,Variable Credits SCI,,,,,,,
SCI,Science,Materials Science and Solid State Chemistry,SCI1410,"This laboratory-based course introduces students to the relationships among structure, processing, properties, and performance of solid state materials including metals, ceramics, polymers, composites, and semiconductors. Topics include atomic structure and bonding, crystallography, diffusion, defects, equilibrium, solubility, phase transformations, and electrical, magnetic, thermal, optical and mechanical properties. Students apply materials science principles in laboratory projects that emphasize experimental design and data analysis, examination of material composition and structure, measurement and modification of material properties, and connection of material behavior to performance in engineering applications. The course is offered in four ""flavors."" Each flavor has a different emphasis in some of the course projects, but all course flavors provide for significant student choice in project topics and experimental processes.<br /><br />A. Historical Context (co-taught with AHSE 2110)<br /><br />B. Environmental and Societal Impact of Materials<br /><br />C. Biomaterials, Polymers and Mechanical Properties<br /><br />D. Electrical and Magnetic Properties <br /><br />Course flavors will be differentiated by the appropriate letter as a prefix to the section. The course number will be SCI 1410 for all versions.<br /><br />",,,4 SCI,,,,,,,3-3-6
SCI,Science,"Metals, Mining, and the Environment",SCI1420,"This course explores materials science through the lens of metallic materials and their environmental and social impacts. From iron and aluminum in mechanical structures, to cobalt and rare earth metals in electronics and renewable energy applications, today?s technologies rely on metals and alloys for their unique physical and chemical properties. Metals are part of a larger technological system, however, with complex social, environmental, political, economic, and ethical implications. Through a series of projects, students in this class will explore the technical processing, microstructure, and behaviors of metallic materials, while researching and discussing sustainability issues related to mining operations, raw material processing, and recycling and disposal. We will critically examine the social and environmental costs of the metals industry and metallic products, and consider our professional and ethical responsibilities as scientists, engineers, designers and global citizens to address larger problems or initiate positive change. The course takes place in a studio-laboratory setting, where teams will implement self-directed project plans guided by their own interests and goals, apply a range of materials testing and analytical techniques, and produce a range of project deliverables that reflect an interdisciplinary understanding of metallic materials and their impacts. <br /><br />",,,4 SCI,,,,,,,6-0-6
SCI,Science,Plastic Planet,SCI1430,"This course explores materials science and solid-state chemistry through the lens of plastics and their environmental and social impacts. The world is creating plastic materials at a staggering rate, with annual global production approaching 400 million tonnes. While plastics play critical roles in health, food packaging, transportation, and construction, the exponential demand for plastics raises significant questions about the human and ecosystem impacts of polymeric materials. For example, only small fractions of plastics are recycled, and recent policy shifts have left many countries struggling to manage their plastics waste streams. Through a series of self-directed team projects, students in this class will explore technical and contextual issues related to plastics processing, use, and disposal, such as the rise of single-use plastics, toxic chemicals and pollutants from polymer synthesis, biodegradation and recycling, life-cycle assessment of plastics versus alternative materials, and larger systemic challenges associated with the plastics industry. The course takes place in a studio-laboratory setting, where teams will implement and troubleshoot project plans, apply a range of materials testing and analytical techniques, and conduct research and reporting that enables critical thinking and reflection on the benefits and consequences of plastics technologies. <br /><br />",,,4 SCI,,,,,,,6-0-6
SCI,Science,"Materials Creation, Consumption, and Impact",SCI1440,"This course provides an introduction to materials science and solid-state chemistry via hands-on explorations of the materials we encounter in our everyday lives. In a series of team-based analytical projects, students select materials products or processes, and design experiments to answer materials-related questions that are personally interesting and culturally relevant. Each project integrates concepts and questions about the impacts of materials on our world, e.g., the toxicity of materials in consumer products, the energy of material processing, the recyclability or biodegradability of common plastics, or the social impacts of extractive industries. The course takes place in a studio-laboratory setting, where we learn to implement and troubleshoot project plans, and safely apply a wide range of materials testing and analytical techniques. The self-directed project work, combined with structured assignments, enable students to think critically about the connections among material chemistry, structure, processing, properties, and impacts. A variety of project deliverables ? posters, presentations, and reports ? help students gain skills in synthesizing, contextualizing, and communicating ideas and insights. In short, this course enables students to explain how materials behave, why they behave that way, and why it matters for maximizing technical performance or minimizing negative impacts on our world.<br /><br />",,,4 SCI,,,,,,,6-0-6
SCI,Science,Special Topics in Science,SCI2099,Special Topics in Science classes (SCI X099) typically cover a specific topic in Science and are intended to enhance and expand the selection of offerings from semester to semester.,,,Variable Credits SCI,,,,,,,
SCI,Science,Astronomy and Statistics: AstroStats,SCI2136,"It's not science unless you quantify your errors. Learn statistics and error analysis by studying our dynamic solar system. The first half of the class will provide you with a toolbox of standard statistical methods. You will learn these methods by studying data from planets, moons, and asteroids. The second half consists of student-designed projects. Your project will investigate an element of our solar system, and will include rigorous error analysis. This course will use data from NASA and ESA missions.<br /><br /><br /><br />",,,2 SCI,,,,,MTH2136,ENGR2510: Software Design or experience with Python,3-0-9
SCI,Science,Special Topics in Physics,SCI2199,Special Topics in Physics classes (SCI X199) typically cover a specific topic in Physics and are intended to enhance and expand the selection of offerings from semester to semester.,,,Variable Credits SCI,,,,,,,
SCI,Science,Immunology,SCI2210,"Immunology is a relatively new science, and our understanding of our immune system is evolving at a rapid pace. When the immune system functions properly, infectious pathogens and potential cancer cells are destroyed. When our immune system malfunctions, normally harmless microorganisms can cause serious infections, autoimmune diseases or allergies can develop and cancer cells can evade immune surveillance and grow unchecked. In this lecture and discussion-based class, we will investigate the molecular and cellular mechanisms that control our immune responses. Current research in immunology will be emphasized through analysis of primary literature and media articles.",,,4 SCI,,,,,,,4-0-8
SCI,Science,Microbial Diversity,SCI2214,"This course is an introduction to the tremendous diversity of the microbial world. The focus will be on the study of environmental bacteria and their metabolic, physiological and genetic diversity. Topics will include: bacterial growth, nutrient cycling, symbiosis, bioremediation, and molecular methods to work with bacteria. A significant portion of the course will involve exploration of the microbial world in the laboratory through authentic research. Students will gain experience with techniques to study a variety of environmental bacteria and learn to use tools in bioinformatics. Students of this course will be able to apply knowledge about microbiology towards development of sustainable biological solutions in a variety of contexts.",,SCI12,4 SCI,,,,,,,3-3-6
SCI,Science,"Emerging Technologies in Cancer Research, Diagnosis and Treatmt w/ Laboratory",SCI2215,"More than thirty years have passed since the declaration of a ?War on Cancer?, yet nearly 600,000 Americans are predicted to die from cancer this year. This course will examine the environmental and biological causes of cancer. We will explore why traditional treatments (chemotherapy, surgery and radiation) and the early promise of biotechnology have not led to a significant improvement of life expectancy for most forms of cancer. Through analyses of journal articles and clinical trials, we will assess the diverse emerging technologies for cancer research, diagnosis and therapy. Some of the technologies to be explored are immune checkpoint inhibitors, CRISPR, angiogenesis inhibitors, microarrays, stem cell therapy, gene therapy, genomic analysis and biological and immunological modifiers. Class discussion and student presentation of primary literature will be integral parts of this course. The course will include a student-designed laboratory component.<br /><br />",,,4 SCI,,,,,,"Foundation Biology, AP Biology score of 4 or 5 (or equivalent), or permission of the instructor",2-2-8
